text,label
마음이 가벼워졌어요,긍정
고마운 일이 많았어요,긍정
책을 읽었어요,중립
주차를 했어요,중립
오늘도 혼자였어요,부정
일을 시작했어요,중립
나만 불행한 것 같아요,부정
영화를 봤어요,중립
사람들과의 관계가 원만해요,긍정
자꾸 과거만 생각나요,부정
사람들과 어울리기 싫어요,부정
라디오를 들었어요,중립
모든 것에 여유를 느껴요,긍정
수업을 들었어요,중립
좋은 일이 생길 것 같은 예감이 들어요,긍정
상처받은 기분이에요,부정
창문을 열었어요,중립
내가 왜 이렇게 못났는지 모르겠어요,부정
모두 나를 싫어하는 것 같아요,부정
내가 원하는 대로 됐어요,긍정
장을 봤어요,중립
모든 일이 잘 풀리는 것 같아요,긍정
물을 끓였어요,중립
편안하고 안정된 기분이에요,긍정
문자를 보냈어요,중립
감정이 무너졌어요,부정
의욕이 하나도 없어요,부정
운전했어요,중립
지하철을 탔어요,중립
마음이 공허해요,부정
오늘은 모든 게 아름다워 보여요,긍정
운동을 했어요,중립
오늘은 정말 즐거운 하루였어요,긍정
아침에 일어났어요,중립
오늘 하루는 완벽했어요,긍정
책가방을 쌌어요,중립
학교에 다녀왔어요,중립
기운이 넘쳐나요,긍정
저녁을 준비했어요,중립
사랑하는 사람과 함께해서 행복해요,긍정
마트에 다녀왔어요,중립
계산을 했어요,중립
내가 싫어졌어요,부정
행복한 일이 가득한 하루였어요,긍정
음악을 들었어요,중립
기분이 너무 안 좋아요,부정
세상이 따뜻하게 느껴져요,긍정
화가 나서 말도 하기 싫어요,부정
쓰레기를 버렸어요,중립
작은 일에도 감사함을 느껴요,긍정
길을 걸었어요,중립
행복해서 눈물이 날 뻔했어요,긍정
버튼을 눌렀어요,중립
사람들의 배려에 감동했어요,긍정
핸드크림을 발랐어요,중립
좋은 사람을 만났어요,긍정
작은 성취에도 기쁨을 느껴요,긍정
속상한 일이 있었어요,부정
나 자신에게 만족스러워요,긍정
오늘 날씨는 흐려요,중립
청소를 했어요,중립
슬픈 생각이 자꾸 들어요,부정
지금 이 순간이 소중해요,긍정
슬픈 노래만 듣고 싶어요,부정
아무도 날 알아주지 않아요,부정
마음이 충만해요,긍정
왜 사는지 모르겠어요,부정
휴대폰을 충전했어요,중립
내일이 기대돼요,긍정
잠도 안 오고 우울해요,부정
혼자 있어도 외롭지 않아요,긍정
피곤하고 힘들었어요,부정
어디에도 나를 이해해주는 사람이 없어요,부정
모든 게 내 탓인 것 같아요,부정
기분이 너무 좋아요,긍정
기운이 하나도 없어요,부정
지치고 힘들어요,부정
내 잘못만 생각나요,부정
기댈 곳이 없다는 생각이 들어요,부정
마음이 복잡하고 어지러워요,부정
계속 울고 싶어요,부정
지갑을 챙겼어요,중립
커피를 마셨어요,중립
내 삶이 소중하게 느껴져요,긍정
모든 일이 꼬이고 있어요,부정
에너지가 가득해요,긍정
실망스러운 하루였어요,부정
화장을 했어요,중립
뭔가 잘못된 것 같아요,부정
자연이 너무 아름다워요,긍정
사랑받고 있다는 느낌이 들어요,긍정
전화 통화를 했어요,중립
사진을 찍었어요,중립
메일을 확인했어요,중립
오랜만에 정말 잘 웃었어요,긍정
서류를 정리했어요,중립
좋은 기운이 느껴져요,긍정
밝은 미래가 보이는 것 같아요,긍정
삶이 힘들게 느껴져요,부정
현실이 너무 답답해요,부정
우울해요,부정
우울,부정
기쁨,긍정
행복,긍정
재미있는,긍정
우울해,부정
,
책을 읽었어,중립
그냥 그랬어,중립
화가 난다,부정
학교 갔다 옴,중립
책을 읽었어,중립
학교 갔다 옴,중립
학교 갔다 옴,중립
고마운 순간이었어,긍정
오늘 날씨가 흐림,중립
학교 갔다 옴,중립
정말 즐거운 날이야,긍정
진짜 별로였어,부정
고마운 순간이었어,긍정
책을 읽었어,중립
고마운 순간이었어,긍정
정말 즐거운 날이야,긍정
정말 즐거운 날이야,긍정
그냥 그랬어,중립
정말 즐거운 날이야,긍정
진짜 별로였어,부정
책을 읽었어,중립
그냥 그랬어,중립
정말 즐거운 날이야,긍정
점심에 밥 먹었다,중립
학교 갔다 옴,중립
화가 난다,부정
고마운 순간이었어,긍정
짜증나는 일이 많아,부정
화가 난다,부정
고마운 순간이었어,긍정
화가 난다,부정
진짜 별로였어,부정
오늘 날씨가 흐림,중립
화가 난다,부정
화가 난다,부정
이 영화 너무 좋아,긍정
행복한 하루였어,긍정
짜증나는 일이 많아,부정
오늘 날씨가 흐림,중립
진짜 별로였어,부정
화가 난다,부정
정말 최악이야,부정
이 영화 너무 좋아,긍정
정말 즐거운 날이야,긍정
슬픈 하루였어,부정
점심에 밥 먹었다,중립
이 영화 너무 좋아,긍정
슬픈 하루였어,부정
그냥 그랬어,중립
점심에 밥 먹었다,중립
이 영화 너무 좋아,긍정
학교 갔다 옴,중립
행복한 하루였어,긍정
정말 최악이야,부정
고마운 순간이었어,긍정
정말 최악이야,부정
그냥 그랬어,중립
화가 난다,부정
진짜 별로였어,부정
점심에 밥 먹었다,중립
짜증나는 일이 많아,부정
정말 최악이야,부정
오늘 날씨가 흐림,중립
그냥 그랬어,중립
학교 갔다 옴,중립
화가 난다,부정
정말 최악이야,부정
고마운 순간이었어,긍정
오늘 날씨가 흐림,중립
기분이 상쾌해,긍정
이 영화 너무 좋아,긍정
기분이 상쾌해,긍정
행복한 하루였어,긍정
